City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Sisimiut,48,GL,1553407200,67,66.9395,-53.6735,-8.58,2.37
Mataura,100,NZ,1553407200,62,-46.1928,168.8643,70.64,12.21
Mount Gambier,0,AU,1553407200,56,-37.8302,140.7843,79.36,12.88
Awjilah,88,LY,1553407200,83,29.1403,21.2975,58.75,10.65
Umm Lajj,24,SA,1553407200,59,25.024,37.2669,85.6,19.26
Husavik,80,CA,1553407200,95,50.5623,-96.9949,27.89,19.71
Bethel,92,US,1553407200,94,60.7922,-161.7559,36.44,18.7
Esperance,24,TT,1553407200,80,10.2447,-61.4506,76.04,5.73
Taltal,0,CL,1553407200,96,-25.408,-70.4859,53.81,2.37
Cape Town,64,ZA,1553407200,93,-33.929,18.4174,65.87,11.99
Camacha,88,PT,1553407200,100,33.0833,-16.3334,62.18,13.78
Nha Trang,80,VN,1553407200,100,12.2432,109.1899,88.68,6.06
Laguna,0,MX,1553407200,66,27.5185,-110.0074,57.77,1.7
Alto Araguaia,0,BR,1553407200,82,-17.3157,-53.217,70.91,9.19
Leningradskiy,56,RU,1553407200,80,69.3833,178.4167,-0.84,17.25
Nikolskoye,0,RU,1553407200,90,59.7035,30.7861,34.97,10.09
Pevek,0,RU,1553407200,58,69.7028,170.2747,-6.5,5.61
Kapaa,80,US,1553407200,93,22.0752,-159.319,70.55,10.65
Yellowknife,92,CA,1553407200,81,62.4541,-114.3774,8.53,19.04
Nenjiang,8,CN,1553407200,32,49.1735,125.2312,43.86,13.78
Vanimo,8,PG,1553407200,100,-2.6741,141.3028,83.84,14.12
Constitucion,0,MX,1553407200,46,23.9912,-104.675,47.6,6.73
Pangkalanbuun,8,ID,1553407200,80,-2.6834,111.6167,92.77,4.5
Verkhovyna,0,UA,1553407200,55,48.1538,24.8279,35.76,2.15
Bambous Virieux,80,MU,1553407200,81,-20.3428,57.7575,83.59,18.7
Chumikan,0,RU,1553407200,52,54.7183,135.315,25.84,4.61
Rotenburg,80,DE,1553407200,88,53.1167,9.4,38.24,3.27
Faya,0,SA,1553407200,45,18.3851,42.4509,73.96,4.5
Sao Filipe,56,CV,1553407200,100,14.8961,-24.4956,68.39,10.76
Kavieng,48,PG,1553407200,100,-2.5745,150.7967,82.15,7.63
Agadez,76,NE,1553407200,17,16.9726,7.9907,74.41,10.2
Nanortalik,92,GL,1553407200,100,60.1432,-45.2372,24.02,32.57
Sao Miguel do Araguaia,32,BR,1553407200,96,-13.275,-50.1628,72.35,2.82
Kokopo,68,PG,1553407200,100,-4.3439,152.2688,80.81,4.38
Sioux Lookout,56,CA,1553407200,60,50.1001,-91.9191,21.05,12.77
Imeni Poliny Osipenko,0,RU,1553407200,56,52.4228,136.4894,28.17,3.71
Sohag,0,EG,1553407200,41,26.5477,31.6993,71.53,10.2
Kloulklubed,8,PW,1553407200,98,7.0419,134.2556,82.38,10.65
Bredasdorp,48,ZA,1553407200,97,-34.5331,20.0428,68.39,8.52
Carnarvon,8,ZA,1553407200,23,-30.9678,22.1333,64.34,2.93
Galle,88,US,1553407200,77,29.7383,-97.9142,67.13,13.33
Aswan,12,EG,1553407200,30,24.0911,32.8973,84.04,11.21
Duluth,0,US,1553407200,89,46.7729,-92.1252,30.83,8.41
Dongkan,64,CN,1553407200,61,33.9997,119.8308,61.75,13.56
Izumo,88,JP,1553407200,97,35.3669,132.7549,48.77,12.66
Provideniya,48,RU,1553407200,100,64.4238,-173.2276,24.76,21.83
Port-Cartier,0,CA,1553407200,96,50.0257,-66.8819,29.33,17.81
Henties Bay,48,NA,1553407200,99,-22.1161,14.2845,62.83,3.27
Jamestown,92,AU,1553407200,95,-33.2075,138.6035,65.6,19.82
Raymond,0,US,1553407200,41,43.0362,-71.1834,32.39,8.63
Kushiro,8,JP,1553407200,78,43.1128,144.1501,31.37,6.62
Afogados da Ingazeira,88,BR,1553407200,94,-7.7505,-37.6357,67.93,1.7
Fairbanks,56,US,1553407200,89,64.8378,-147.7167,34.66,3.38
Port Blair,0,IN,1553407200,100,11.6667,92.75,87.82,6.4
Ilulissat,32,GL,1553407200,80,69.2167,-51.1,4.1,9.42
Avera,32,US,1553407200,38,33.194,-82.5271,48.32,6.51
Ugoofaaru,0,MV,1553407200,96,5.6667,73.0,86.04,10.42
Khatanga,0,RU,1553407200,69,71.9801,102.4743,5.13,9.08
Barrow,0,AR,1553407200,87,-38.3131,-60.2291,52.19,14.23
East London,48,ZA,1553407200,89,-33.0153,27.9116,75.77,15.35
Padang,80,ID,1553407200,100,-0.9248,100.3633,77.66,10.54
Aksu,64,KZ,1553407200,92,52.0354,76.9341,35.8,6.4
Nelson Bay,68,AU,1553407200,92,-32.7219,152.1441,83.3,6.62
Wangkui,0,CN,1553407200,64,46.8333,126.5,49.12,5.73
Upata,0,VE,1553407200,74,8.017,-62.4058,73.43,8.41
Roald,92,NO,1553407200,96,62.5838,6.1242,39.5,22.06
Port Hardy,0,CA,1553407200,88,50.6996,-127.4199,42.02,2.93
Polson,32,US,1553407200,82,47.6905,-114.1638,28.33,1.03
Teya,0,MX,1553407200,59,21.0486,-89.0739,70.64,6.4
Pisco,8,PE,1553407200,90,-13.71,-76.203,67.62,1.25
High Level,24,CA,1553407200,68,58.5167,-117.1334,29.69,6.96
Vao,0,EE,1553407200,80,59.1018,26.1904,34.01,12.88
Port Alfred,80,ZA,1553407200,81,-33.5906,26.891,74.24,7.63
Margate,56,AU,1553407200,67,-43.0274,147.2623,70.52,9.42
Bubaque,0,GW,1553407200,100,11.2833,-15.8334,75.41,14.23
New Norfolk,0,AU,1553407200,58,-42.7802,147.0615,69.42,11.43
Fortuna,8,ES,1553407200,74,38.1801,-1.126,43.34,2.59
Ishigaki,76,JP,1553407200,100,24.3448,124.1572,70.1,15.23
Mandalgovi,0,MN,1553407200,71,45.763,106.2704,48.34,11.65
Kaeo,24,NZ,1553407200,67,-35.1018,173.7751,69.02,10.2
Tautira,88,PF,1553407200,98,-17.7334,-149.15,85.3,9.42
Lagoa,0,PT,1553407200,73,37.1363,-8.4541,54.26,10.76
Taywarah,0,AF,1553407200,58,33.35,64.4167,56.05,2.93
Cruz Grande,0,MX,1553407200,100,16.7233,-99.1312,72.23,2.15
Manama,0,AE,1553407200,75,25.3295,56.019,82.38,5.06
Jacareacanga,92,BR,1553407200,97,-6.2243,-57.7609,73.16,2.48
Coihaique,36,CL,1553407200,92,-45.5753,-72.0662,41.59,2.37
Rawson,0,AR,1553407200,80,-43.2992,-65.1057,50.93,11.32
Niceville,0,US,1553407200,94,30.5169,-86.4822,49.85,2.93
Grand Gaube,48,MU,1553407200,97,-20.0064,57.6608,83.42,27.87
Martapura,64,ID,1553407200,81,-3.4055,114.8478,90.18,5.06
Faanui,76,PF,1553407200,100,-16.4834,-151.75,84.9,11.54
Smithers,0,CA,1553407200,81,54.783,-127.1703,25.36,1.81
Georgetown,76,GY,1553407200,72,6.8026,-58.1629,78.74,5.95
Lasa,44,CY,1553407200,99,34.9245,32.5278,58.76,2.93
Juruti,68,BR,1553407200,94,-2.1572,-56.0901,76.14,2.15
Abalak,80,NE,1553407200,30,15.4637,6.2813,71.36,8.86
Guerrero Negro,0,MX,1553407200,97,27.971,-114.0364,53.09,8.41
Sainte-Maxime,0,FR,1553407200,100,43.3087,6.6377,51.65,1.92
Mayo,88,CA,1553407200,70,63.5927,-135.8962,43.27,3.27
Saint-Michel-des-Saints,0,CA,1553407200,72,46.6786,-73.9177,23.22,8.75
Xichang,92,CN,1553407200,93,27.876,102.2549,47.3,1.14
Axim,36,GH,1553407200,97,4.8654,-2.2422,83.01,8.97
Bogande,36,BF,1553407200,43,12.9714,-0.1437,69.11,3.49
Kabinda,48,CD,1553407200,96,-6.1369,24.4862,73.96,4.61
Hualmay,32,PE,1553407200,94,-11.0968,-77.613,65.69,3.38
Bilma,88,NE,1553407200,14,18.6929,12.9187,68.93,14.23
Cocobeach,92,GA,1553407200,98,1.0053,9.5843,81.37,2.37
Vestmannaeyjar,92,IS,1553407200,100,63.4427,-20.2734,37.89,36.26
North Myrtle Beach,0,US,1553407200,100,33.8278,-78.6801,58.13,1.25
Sinnamary,88,GF,1553407200,100,5.3772,-52.9574,78.02,10.42
Maumere,32,ID,1553407200,94,-8.6257,122.2193,84.15,15.46
Port Hueneme,0,US,1553407200,91,34.1478,-119.1952,55.07,6.51
Cidreira,0,BR,1553407200,95,-30.1658,-50.2184,59.3,4.38
Sisophon,92,KH,1553407200,100,13.5884,102.97,75.49,4.05
College,56,US,1553407200,89,64.8569,-147.8028,34.28,3.38
Dunedin,64,NZ,1553407200,82,-45.874,170.5035,68.84,3.27
Atar,0,MR,1553407200,77,20.5183,-13.0544,50.84,2.71
Buala,88,SB,1553407200,83,-8.1456,159.593,84.41,5.73
The Valley,32,AI,1553407200,99,18.217,-63.0579,77.05,12.66
Kasongo-Lunda,68,CD,1553407200,94,-6.4787,16.8168,69.37,2.93
Conil,0,FR,1553407200,70,44.9673,3.7177,24.92,1.25
Los Llanos de Aridane,92,ES,1553407200,100,28.6585,-17.9183,61.37,5.95
Hithadhoo,36,MV,1553407200,99,-0.6,73.0833,86.5,8.86
San Quintin,88,PH,1553407200,48,17.5427,120.5203,84.63,3.94
Lebu,0,ET,1553407200,43,8.9611,38.7254,72.66,3.94
Macas,80,EC,1553407200,91,-2.3047,-78.1176,62.99,3.38
Nizhneangarsk,20,RU,1553407200,56,55.7836,109.5718,17.81,7.74
Lata,12,IN,1553407200,53,30.7809,78.6152,66.79,1.7
Ribeira Grande,68,PT,1553407200,100,38.5167,-28.7001,58.64,22.62
Porto Novo,64,BR,1553407200,100,-23.6775,-45.4418,66.43,2.71
Narsaq,88,GL,1553407200,68,60.9127,-46.0453,24.62,6.96
Tiksi,56,RU,1553407200,75,71.6366,128.8685,7.99,8.97
Birao,8,CF,1553407200,45,10.2962,22.781,86.65,3.04
Itarema,80,BR,1553407200,99,-2.9248,-39.9167,75.05,2.37
Mahebourg,80,MU,1553407200,81,-20.4081,57.7,83.57,18.7
Severo-Kurilsk,80,RU,1553407200,100,50.6789,156.125,28.07,20.04
Namibe,76,AO,1553407200,100,-15.1902,12.1531,77.21,2.71
Aba,100,NG,1553407200,93,5.1127,7.3643,73.34,5.84
Muzhi,36,RU,1553407200,84,65.4,64.7019,30.94,15.68
Portland,92,US,1553407200,96,45.5202,-122.6742,45.73,2.59
Comodoro Rivadavia,12,AR,1553407200,100,-45.8654,-67.4808,51.83,3.49
Denpasar,80,ID,1553407200,96,-8.65,115.2167,83.44,1.7
Kahului,12,US,1553407200,88,20.8894,-156.4728,70.82,13.33
Gatton,32,AU,1553407200,49,-27.5616,152.2791,94.41,6.62
Bulawayo,92,ZW,1553407200,87,-20.1561,28.5887,67.73,9.08
Nybro,32,SE,1553407200,52,56.7452,15.9062,41.12,8.08
Nantucket,0,US,1553407200,98,41.2835,-70.0995,38.69,18.03
Kyren,88,RU,1553407200,54,51.6824,102.1329,36.64,3.38
Makakilo City,36,US,1553407200,77,21.3469,-158.0859,71.09,12.66
Okhotsk,64,RU,1553407200,71,59.3644,143.2411,29.37,4.61
Pangnirtung,68,CA,1553407200,70,66.149,-65.7179,10.44,22.39
Bintulu,20,MY,1553407200,71,3.1667,113.0333,92.55,5.39
San Juan,0,PH,1553407200,70,14.6047,121.03,88.97,16.8
Pasighat,0,IN,1553407200,63,28.0594,95.3326,74.86,2.15
Isla Vista,0,US,1553407200,87,34.4134,-119.8616,57.86,17.36
Dalvik,20,SE,1553407200,58,57.7865,14.1298,36.89,7.29
Bermejo,100,AR,1553407200,98,-22.7322,-64.3433,66.32,2.15
Kungurtug,8,RU,1553407200,52,50.5987,97.5254,37.0,7.4
Inhambane,56,MZ,1553407200,81,-23.866,35.3844,80.27,9.19
Citrus Heights,0,US,1553407200,89,38.7071,-121.2811,43.37,4.61
Oum Hadjer,24,TD,1553407200,23,13.2954,19.6966,86.83,7.4
Fernie,92,CA,1553407200,95,49.5042,-115.0626,41.83,1.81
Coahuayana,0,MX,1553407200,63,18.6201,-100.3453,56.87,1.92
Monte Carmelo,20,BR,1553407200,90,-18.7261,-47.4959,64.25,3.38
Lorengau,68,PG,1553407200,96,-2.0226,147.2712,83.62,10.87
Eustis,32,US,1553407200,99,40.6625,-100.0296,42.29,6.4
Langenburg,0,CA,1553407200,84,50.8418,-101.7016,23.03,13.11
Sal Rei,88,CV,1553407200,100,16.1833,-22.9167,68.95,9.86
Pareora,12,NZ,1553407200,85,-44.4871,171.2132,68.3,2.82
Olga,8,US,1553407200,87,34.1125,-118.1657,47.7,1.92
Mutuipe,92,BR,1553407200,98,-13.2287,-39.5048,70.28,3.6
Igualada,36,ES,1553407200,85,41.579,1.6173,46.31,3.38
Sampit,8,ID,1553407200,75,-2.539,112.9494,96.84,4.61
Saldanha,0,PT,1553407200,86,41.4184,-6.5524,32.21,3.6
Manaus,56,BR,1553407200,88,-3.1317,-59.9826,79.5,5.17
Atambua,44,ID,1553407200,99,-9.1066,124.892,83.7,6.17
Ganganagar,0,IN,1553407200,24,16.7798,77.1335,110.66,9.86
Nivala,0,FI,1553407200,63,63.929,24.9613,35.94,13.67
Port Elizabeth,0,US,1553407200,49,39.3134,-74.9811,35.44,9.19
Yar-Sale,0,RU,1553407200,85,66.8333,70.8333,23.99,11.77
Praia da Vitoria,68,PT,1553407200,100,38.7333,-27.0667,58.31,23.51
Rio Grande,0,BR,1553407200,99,-32.0335,-52.0992,65.33,10.2
Tocache,56,PE,1553407200,89,-8.1888,-76.5103,57.59,0.92
Pangai,92,TO,1553407200,100,-19.8,-174.3501,81.55,14.23
Yerofey Pavlovich,80,RU,1553407200,49,53.9667,121.9667,29.16,4.16
Pizarro,88,CO,1553407200,93,4.9538,-77.3668,77.12,5.28
Chokurdakh,32,RU,1553407200,71,70.6192,147.9022,2.19,3.71
Nizwa,48,OM,1553407200,49,22.9324,57.5311,78.48,3.6
Zhezkazgan,76,KZ,1553407200,100,47.8043,67.7144,42.56,3.49
Kaplice,44,CZ,1553407200,88,48.7388,14.4966,38.53,2.71
Saint-Pierre,24,FR,1553407200,86,48.9455,4.2446,30.86,2.93
Yangjiang,92,CN,1553407200,100,21.8526,111.9594,73.15,13.44
Evensk,0,RU,1553407200,85,61.9192,159.2359,28.88,14.0
Ilam,100,IR,1553407200,90,33.6379,46.4203,51.76,7.52
Airai,44,TL,1553407200,59,-8.9266,125.4092,84.54,2.04
Komsomolskiy,88,RU,1553407200,91,67.5537,63.776,28.18,20.6
Nouakchott,0,MR,1553407200,98,18.0792,-15.9781,65.69,14.67
Isangel,92,VU,1553407200,100,-19.55,169.2667,84.36,17.02
Kruisfontein,88,ZA,1553407200,85,-34.0034,24.7314,69.37,10.42
Fukue,0,JP,1553407200,97,35.0335,136.6943,54.1,17.25
Nyurba,68,RU,1553407200,56,63.2866,118.3541,16.72,6.85
Victoria,12,BN,1553407200,94,5.2785,115.2423,87.55,11.21
Cabedelo,44,BR,1553407200,100,-6.9733,-34.8352,78.92,4.61
Hamilton,44,BM,1553407200,98,32.2956,-64.7828,66.5,23.73
Kachug,44,RU,1553407200,64,53.9608,105.8851,29.23,7.74
Westport,88,IE,1553407200,79,53.8001,-9.5203,45.44,15.68
Dingle,0,PH,1553407200,44,11.0001,122.6718,92.34,15.23
Arawa,92,NG,1553407200,88,7.05,3.9,77.66,3.15
Neiafu,92,TO,1553407200,100,-18.65,-173.9834,82.27,15.23
Churapcha,32,RU,1553407200,44,62.0025,132.4325,20.23,4.05
Petropavlovsk-Kamchatskiy,88,RU,1553407200,75,53.0452,158.6483,31.04,2.15
Burgeo,76,CA,1553407200,92,47.6125,-57.6096,31.49,14.12
Merauke,64,ID,1553407200,94,-8.4903,140.3956,81.26,11.1
Hasaki,0,JP,1553407200,100,35.7333,140.8333,55.85,14.23
Kochi,0,IN,1553407200,75,9.9634,76.2537,92.5,4.61
Chegdomyn,24,RU,1553407200,35,51.1345,133.0356,25.79,3.04
Te Anau,80,NZ,1553407200,83,-45.4145,167.7175,61.91,7.52
Touros,64,BR,1553407200,100,-5.1989,-35.4609,76.12,4.94
Fort-Shevchenko,32,KZ,1553407200,84,44.5086,50.263,53.15,14.67
Tanout,64,NE,1553407200,16,14.9712,8.8784,76.31,14.79
Sydney,92,AU,1553407200,73,-33.8549,151.2165,81.7,3.04
Auki,76,NG,1553407200,48,12.1824,6.5056,67.04,2.59
Puerto Escondido,8,MX,1553407200,100,15.8624,-97.0717,83.6,10.31
Paamiut,76,GL,1553407200,100,61.994,-49.6678,22.55,8.63
Sao Joao da Barra,12,BR,1553407200,98,-21.6403,-41.0512,80.36,9.31
Carpentersville,92,US,1553407200,72,42.1211,-88.2579,40.57,8.63
Winchester,56,GB,1553407200,93,51.0613,-1.3132,38.51,4.72
Ancud,76,CL,1553407200,85,-41.8682,-73.8288,46.72,2.59
Hue,64,VN,1553407200,76,16.4691,107.5778,85.44,2.93
Hami,0,CN,1553407200,47,42.8354,93.5128,66.58,6.29
Caravelas,76,BR,1553407200,100,-17.7297,-39.2661,82.8,17.92
Russkaya Polyana,20,RU,1553407200,100,53.7804,73.8821,37.24,6.4
Mosetse,0,BW,1553407200,65,-20.6405,26.6381,73.87,11.65
Viesca,0,MX,1553407200,30,25.343,-102.8051,59.63,2.48
Chopinzinho,0,BR,1553407200,97,-25.8567,-52.5295,59.21,2.48
Ponta do Sol,68,BR,1553407200,93,-20.6335,-45.9989,64.34,3.94
San Jeronimo,64,PE,1553407200,100,-13.6517,-73.366,40.85,1.92
Corum,0,TR,1553407200,69,38.7985,29.8852,32.36,4.38
Lethem,0,GY,1553407200,63,3.3803,-59.7969,79.28,11.77
Mayor Pablo Lagerenza,88,PY,1553407200,82,-19.9309,-60.7718,75.77,4.94
Saint-Francois,0,FR,1553407200,74,46.4154,3.9054,31.04,3.04
Waddan,0,LY,1553407200,90,29.1615,16.1414,47.62,6.51
Gonaives,80,HT,1553407200,100,19.45,-72.6834,70.37,3.6
Tura,0,IN,1553407200,58,25.5174,90.2067,87.48,3.15
Oranjestad,0,AW,1553407200,93,12.524,-70.0271,78.83,21.83
Ust-Maya,8,RU,1553407200,48,60.4164,134.5365,23.22,3.71
Bereda,0,ES,1553407200,83,43.2686,-7.5406,40.49,2.15
Riyadh,20,SA,1553407200,44,24.632,46.7151,77.43,3.71
Arti,68,RU,1553407200,93,56.4256,58.5327,39.29,6.17
Mortka,0,RU,1553407200,78,59.3303,66.0221,49.14,3.38
Waingapu,80,ID,1553407200,80,-9.6522,120.2637,83.15,9.98
Brae,92,GB,1553407200,99,60.3964,-1.353,43.91,33.46
Baykit,80,RU,1553407200,78,61.6784,96.3854,26.06,3.94
Galway,20,IE,1553407200,93,53.2744,-9.0491,42.24,10.76
Euskirchen,12,DE,1553407200,95,50.6612,6.7873,40.59,4.72
Banda Aceh,48,ID,1553407200,93,5.5577,95.3222,80.36,3.6
Mount Isa,56,AU,1553407200,52,-20.729,139.4932,88.46,20.49
Aberdeen,44,US,1553407200,86,45.465,-98.4879,30.47,2.71
Basse,20,DE,1553407200,88,52.5518,9.5069,35.09,2.93
Sorata,44,BO,1553407200,93,-15.7729,-68.65,46.61,2.37
Gorontalo,36,ID,1553407200,54,0.5384,123.0595,91.09,2.93
Vila Velha,56,BR,1553407200,100,-3.7125,-38.6045,78.56,4.61
Thinadhoo,56,MV,1553407200,100,0.5333,72.9333,85.39,9.31
Lazaro Cardenas,0,MX,1553407200,20,28.3905,-105.6235,58.84,10.65
Viedma,92,AR,1553407200,72,-40.8086,-62.9947,59.39,23.62
Hambantota,20,LK,1553407200,92,6.1241,81.1185,85.84,5.39
Hofn,0,IS,1553407200,100,64.2539,-15.2082,37.7,20.04
Quchan,36,IR,1553407200,49,37.106,58.5108,81.21,3.27
Alofi,0,NU,1553407200,97,-19.0596,-169.9187,81.26,13.67
Ogaminana,68,NG,1553407200,82,7.6004,6.2014,75.14,10.98
Rome,0,IT,1553407200,70,41.8933,12.4829,46.31,2.37
Lavrentiya,88,RU,1553407200,98,65.5842,-170.989,20.48,20.15
Carquefou,0,FR,1553407200,84,47.2972,-1.4922,40.31,7.18
Darnah,0,LY,1553407200,100,32.767,22.6367,60.58,15.79
Peniche,0,PT,1553407200,90,39.3566,-9.3813,59.93,16.69
Fianarantsoa,12,MG,1553407200,69,-21.4534,47.0854,78.82,7.63
Myanaung,0,MM,1553407200,41,18.2833,95.3167,104.74,2.93
Plettenberg Bay,92,ZA,1553407200,100,-34.0528,23.3716,68.12,14.23
Ponta Delgada,44,PT,1553407200,100,37.7333,-25.6667,58.04,21.83
Bandarbeyla,0,SO,1553407200,100,9.4942,50.8122,81.19,7.74
Antsohihy,68,MG,1553407200,96,-14.8776,47.9872,86.68,5.39
Half Moon Bay,0,US,1553407200,100,37.4636,-122.4286,48.59,7.74
Beaverlodge,80,CA,1553407200,86,55.2106,-119.4287,34.34,2.59
Erzin,92,TR,1553407200,60,36.9536,36.2023,57.07,18.03
Minab,0,IR,1553407200,98,27.1483,57.0737,73.31,7.63
Aosta,0,IT,1553407200,52,45.7371,7.3197,38.93,0.92
Itaituba,80,BR,1553407200,91,-4.2626,-55.9879,76.85,2.37
Tyler,76,US,1553407200,73,32.3513,-95.3011,64.67,12.44
Sarkand,92,KZ,1553407200,95,45.4083,79.9138,47.79,6.06
Lakes Entrance,68,AU,1553407200,75,-37.8795,147.9944,74.41,3.94
Troitskiy,0,RU,1553407200,80,45.1462,38.1411,42.57,5.06
Sibolga,56,ID,1553407200,84,1.737,98.7846,81.1,2.82
Pierre,88,US,1553407200,95,44.3683,-100.3512,34.48,7.4
Shestakovo,76,RU,1553407200,54,56.4942,103.9623,29.16,6.51
Independence,80,US,1553407200,95,39.0911,-94.4156,51.29,17.02
Assiniboia,92,CA,1553407200,94,49.6282,-105.9934,39.24,15.46
Kamina,92,CD,1553407200,97,-8.7365,24.9952,66.41,7.4
Salalah,64,OM,1553407200,100,17.0149,54.0957,79.61,7.63
Benghazi,24,LY,1553407200,100,32.1171,20.067,61.36,23.73
Kaduy,92,RU,1553407200,95,59.2,37.15,33.29,10.42
Cap Malheureux,48,MU,1553407200,97,-19.9842,57.6142,83.42,27.87
Ratnagiri,0,IN,1553407200,89,16.9833,73.3,86.83,3.83
Glendive,64,US,1553407200,86,47.1053,-104.7125,43.01,4.72
Ngunguru,0,NZ,1553407200,95,-35.6167,174.5,70.27,12.44
Jalu,88,LY,1553407200,84,29.0331,21.5482,57.63,10.98
Raudeberg,92,NO,1553407200,100,61.9875,5.1352,40.32,9.64
Cabatuan,44,PH,1553407200,48,16.9543,121.6699,88.27,6.17
